date,home_team,score,away_team
26-02-2023,Atlanta United FC,2 - 1,San Jose Earthquakes
05-03-2023,Atlanta United FC,1 - 1,Toronto FC
11-03-2023,Charlotte,0 - 3,Atlanta United FC
18-03-2023,Atlanta United FC,5 - 1,Portland Timbers
25-03-2023,Columbus Crew,6 - 1,Atlanta United FC
01-04-2023,Atlanta United FC,1 - 0,New York Red Bulls
08-04-2023,New York City FC,1 - 1,Atlanta United FC
15-04-2023,Toronto FC,2 - 2,Atlanta United FC
23-04-2023,Atlanta United FC,2 - 1,Chicago Fire
29-04-2023,Nashville SC (MLS),3 - 1,Atlanta United FC
06-05-2023,Club Internacional de Fútbol Miami,2 - 1,Atlanta United FC
13-05-2023,Atlanta United FC,1 - 3,Charlotte
17-05-2023,Atlanta United FC,4 - 0,Colorado Rapids
21-05-2023,Chicago Fire,3 - 3,Atlanta United FC
27-05-2023,Orlando City SC,1 - 1,Atlanta United FC
31-05-2023,Atlanta United FC,3 - 3,New England Revolution
08-06-2023,Los Angeles FC,0 - 0,Atlanta United FC
10-06-2023,Atlanta United FC,3 - 1,DC United
21-06-2023,Atlanta United FC,2 - 2,New York City FC
24-06-2023,New York Red Bulls,4 - 0,Atlanta United FC
02-07-2023,Atlanta United FC,? - ?,Philadelphia Union
26-02-2023,Austin,2 - 3,St. Louis City
05-03-2023,Austin,1 - 0,Montreal Impact
12-03-2023,Real Salt Lake,1 - 2,Austin
19-03-2023,Houston Dynamo,2 - 0,Austin
26-03-2023,Austin,1 - 1,Colorado Rapids
08-04-2023,Los Angeles FC,3 - 0,Austin
16-04-2023,Austin,0 - 0,Vancouver Whitecaps
23-04-2023,LA Galaxy,2 - 0,Austin
30-04-2023,Austin,2 - 2,San Jose Earthquakes
07-05-2023,Portland Timbers,2 - 2,Austin
14-05-2023,Austin,0 - 1,FC Dallas
18-05-2023,Seattle Sounders FC,1 - 2,Austin
21-05-2023,Austin,1 - 0,Toronto FC
28-05-2023,Houston Dynamo,2 - 1,Austin
01-06-2023,Austin,2 - 1,Minnesota Utd
04-06-2023,Austin,1 - 2,Real Salt Lake
11-06-2023,Sporting Kansas City,4 - 1,Austin
22-06-2023,Austin,3 - 0,FC Dallas
25-06-2023,Austin,3 - 0,Houston Dynamo
01-07-2023,Club Internacional de Fútbol Miami,1 - 1,Austin
26-02-2023,Charlotte,0 - 1,New England Revolution
05-03-2023,St. Louis City,3 - 1,Charlotte
11-03-2023,Charlotte,0 - 3,Atlanta United FC
18-03-2023,Orlando City SC,1 - 2,Charlotte
25-03-2023,Charlotte,1 - 1,New York Red Bulls
01-04-2023,Toronto FC,2 - 2,Charlotte
09-04-2023,Real Salt Lake,3 - 1,Charlotte
15-04-2023,Charlotte,2 - 2,Colorado Rapids
22-04-2023,Charlotte,1 - 0,Columbus Crew
29-04-2023,DC United,3 - 0,Charlotte
06-05-2023,Charlotte,3 - 2,New York City FC
13-05-2023,Atlanta United FC,1 - 3,Charlotte
17-05-2023,Charlotte,2 - 1,Chicago Fire
20-05-2023,Charlotte,1 - 2,Nashville SC (MLS)
28-05-2023,LA Galaxy,0 - 1,Charlotte
31-05-2023,Philadelphia Union,1 - 0,Charlotte
03-06-2023,Columbus Crew,4 - 2,Charlotte
10-06-2023,Charlotte,3 - 3,Seattle Sounders FC
21-06-2023,New York Red Bulls,2 - 2,Charlotte
24-06-2023,Charlotte,0 - 0,Montreal Impact
05-07-2023,New York City FC,? - ?,Charlotte
05-03-2023,Chicago Fire,1 - 1,New York City FC
12-03-2023,Philadelphia Union,1 - 0,Chicago Fire
19-03-2023,Chicago Fire,3 - 3,FC Cincinnati
25-03-2023,Club Internacional de Fútbol Miami,2 - 3,Chicago Fire
02-04-2023,Chicago Fire,0 - 0,DC United
09-04-2023,Chicago Fire,2 - 1,Minnesota Utd
16-04-2023,Chicago Fire,2 - 2,Philadelphia Union
23-04-2023,Atlanta United FC,2 - 1,Chicago Fire
30-04-2023,Chicago Fire,1 - 1,New York Red Bulls
07-05-2023,Nashville SC (MLS),3 - 0,Chicago Fire
13-05-2023,Chicago Fire,1 - 0,St. Louis City
17-05-2023,Charlotte,2 - 1,Chicago Fire
21-05-2023,Chicago Fire,3 - 3,Atlanta United FC
27-05-2023,New England Revolution,3 - 3,Chicago Fire
31-05-2023,Toronto FC,0 - 0,Chicago Fire
03-06-2023,FC Cincinnati,1 - 0,Chicago Fire
11-06-2023,Chicago Fire,1 - 2,Columbus Crew
22-06-2023,Portland Timbers,1 - 2,Chicago Fire
25-06-2023,Sporting Kansas City,0 - 1,Chicago Fire
01-07-2023,Orlando City SC,3 - 1,Chicago Fire
26-02-2023,Club Internacional de Fútbol Miami,2 - 0,Montreal Impact
05-03-2023,Club Internacional de Fútbol Miami,2 - 0,Philadelphia Union
12-03-2023,New York City FC,1 - 0,Club Internacional de Fútbol Miami
18-03-2023,Toronto FC,2 - 0,Club Internacional de Fútbol Miami
25-03-2023,Club Internacional de Fútbol Miami,2 - 3,Chicago Fire
01-04-2023,FC Cincinnati,1 - 0,Club Internacional de Fútbol Miami
08-04-2023,Club Internacional de Fútbol Miami,0 - 1,FC Dallas
23-04-2023,Houston Dynamo,1 - 0,Club Internacional de Fútbol Miami
29-04-2023,Columbus Crew,1 - 2,Club Internacional de Fútbol Miami
06-05-2023,Club Internacional de Fútbol Miami,2 - 1,Atlanta United FC
13-05-2023,Club Internacional de Fútbol Miami,2 - 1,New England Revolution
18-05-2023,Nashville SC (MLS),2 - 1,Club Internacional de Fútbol Miami
20-05-2023,Club Internacional de Fútbol Miami,1 - 3,Orlando City SC
27-05-2023,Montreal Impact,1 - 0,Club Internacional de Fútbol Miami
31-05-2023,Club Internacional de Fútbol Miami,0 - 1,New York Red Bulls
03-06-2023,Club Internacional de Fútbol Miami,1 - 2,DC United
10-06-2023,New England Revolution,3 - 1,Club Internacional de Fútbol Miami
24-06-2023,Philadelphia Union,4 - 1,Club Internacional de Fútbol Miami
01-07-2023,Club Internacional de Fútbol Miami,1 - 1,Austin
04-07-2023,Club Internacional de Fútbol Miami,? - ?,Columbus Crew
27-02-2023,Seattle Sounders FC,4 - 0,Colorado Rapids
05-03-2023,Colorado Rapids,0 - 0,Sporting Kansas City
12-03-2023,San Jose Earthquakes,1 - 0,Colorado Rapids
19-03-2023,Colorado Rapids,1 - 2,Minnesota Utd
26-03-2023,Austin,1 - 1,Colorado Rapids
02-04-2023,Colorado Rapids,0 - 0,Los Angeles FC
09-04-2023,Sporting Kansas City,0 - 1,Colorado Rapids
15-04-2023,Charlotte,2 - 2,Colorado Rapids
23-04-2023,Colorado Rapids,1 - 1,St. Louis City
30-04-2023,Vancouver Whitecaps,0 - 0,Colorado Rapids
07-05-2023,LA Galaxy,1 - 3,Colorado Rapids
14-05-2023,Colorado Rapids,1 - 2,Philadelphia Union
17-05-2023,Atlanta United FC,4 - 0,Colorado Rapids
21-05-2023,Colorado Rapids,2 - 3,Real Salt Lake
28-05-2023,Colorado Rapids,0 - 1,FC Cincinnati
31-05-2023,Columbus Crew,3 - 2,Colorado Rapids
04-06-2023,Colorado Rapids,0 - 0,San Jose Earthquakes
10-06-2023,Orlando City SC,2 - 0,Colorado Rapids
25-06-2023,Colorado Rapids,0 - 0,LA Galaxy
02-07-2023,St. Louis City,2 - 0,Colorado Rapids
02-07-2023,St. Louis City,? - ?,Colorado Rapids
26-02-2023,Philadelphia Union,4 - 1,Columbus Crew
05-03-2023,Columbus Crew,2 - 0,DC United
12-03-2023,Toronto FC,1 - 1,Columbus Crew
18-03-2023,New York Red Bulls,2 - 1,Columbus Crew
25-03-2023,Columbus Crew,6 - 1,Atlanta United FC
01-04-2023,Columbus Crew,4 - 0,Real Salt Lake
08-04-2023,DC United,0 - 2,Columbus Crew
15-04-2023,Columbus Crew,1 - 1,New England Revolution
22-04-2023,Charlotte,1 - 0,Columbus Crew
29-04-2023,Columbus Crew,1 - 2,Club Internacional de Fútbol Miami
